1,-1,477.417,133.575,60.972,206.672,0.985314,-1,-1,-1
1,-1,387.83,158.467,100.509,182.139,0.97094,-1,-1,-1
2,-1,417.554,152.34,87.063,188.592,0.990937,-1,-1,-1
2,-1,499.257,139.014,65.487,203.564,0.990493,-1,-1,-1
3,-1,498.214,128.481,70.59,200.297,0.995258,-1,-1,-1
3,-1,424.154,153.412,82.495,189.499,0.986761,-1,-1,-1
4,-1,439.309,143.884,80.462,208.168,0.994842,-1,-1,-1
4,-1,518.468,130,55.275,219.953,0.987654,-1,-1,-1
5,-1,516.955,131.026,86.723,210.707,0.993197,-1,-1,-1
5,-1,460.852,141.261,60.075,210.584,0.983597,-1,-1,-1
6,-1,538.367,144.488,63.531,206.507,0.99477,-1,-1,-1
6,-1,457.382,156.632,89.806,185.123,0.989349,-1,-1,-1
7,-1,481.114,140.433,71.365,210.658,0.991944,-1,-1,-1
7,-1,551.227,140.883,64.373,200.49,0.985207,-1,-1,-1
8,-1,559.924,142.305,58.757,191.829,0.990819,-1,-1,-1
8,-1,492.365,155.3,70.165,180.783,0.975726,-1,-1,-1
9,-1,580.236,134.541,52.879,209.277,0.986716,-1,-1,-1
9,-1,506.963,158.328,67.037,192.508,0.963329,-1,-1,-1
10,-1,581.56,132.447,63.044,202.526,0.991309,-1,-1,-1
10,-1,520.272,150.418,76.956,194.572,0.985844,-1,-1,-1
11,-1,526.89,158.186,84.713,184.466,0.993296,-1,-1,-1
11,-1,243.122,136.767,55.327,160.776,0.966675,-1,-1,-1
11,-1,602.995,147.678,59.739,194.772,0.964845,-1,-1,-1
12,-1,545.382,151.221,84.428,198.4,0.990525,-1,-1,-1
12,-1,613.926,145.141,62.962,205.249,0.97402,-1,-1,-1
12,-1,243.57,138.252,64.629,158.576,0.950364,-1,-1,-1
12,-1,508.681,135.805,34.921,48.726,0.770134,-1,-1,-1
13,-1,552.147,151.93,109.293,207.661,0.988067,-1,-1,-1
13,-1,626.171,150.045,71.227,203.925,0.97436,-1,-1,-1
13,-1,254.982,133.642,67.075,155.124,0.968768,-1,-1,-1
13,-1,504.996,129.224,31.287,67.245,0.736315,-1,-1,-1
14,-1,646.888,146.608,53.491,215.831,0.982562,-1,-1,-1
14,-1,254.132,137.935,80.497,173.445,0.981753,-1,-1,-1
14,-1,576.705,158.945,80.038,196.511,0.979956,-1,-1,-1
14,-1,494.432,134.831,32.291,63.705,0.673853,-1,-1,-1
15,-1,596.462,144.982,78.02,216.909,0.992956,-1,-1,-1
15,-1,652.59,148.269,68.964,212.625,0.979891,-1,-1,-1
15,-1,273.951,144.053,73.923,143.043,0.970793,-1,-1,-1
15,-1,495.056,138.808,30.973,58.889,0.793536,-1,-1,-1
15,-1,239.144,132.457,35.489,65.558,0.701717,-1,-1,-1
15,-1,513.07,132.169,34.991,59.766,0.635846,-1,-1,-1
