1,2,387.83,158.47,100.51,182.14,1,-1,-1,-1
1,1,477.42,133.57,60.97,206.67,1,-1,-1,-1
2,2,415.57,156.44,91.03,180.40,1,-1,-1,-1
2,1,499.91,136.94,64.18,207.70,1,-1,-1,-1
3,2,423.52,157.99,85.95,179.82,1,-1,-1,-1
3,1,500.92,125.44,67.83,208.26,1,-1,-1,-1
4,2,436.54,153.57,84.67,188.92,1,-1,-1,-1
4,1,514.20,133.49,62.46,207.22,1,-1,-1,-1
5,2,453.58,154.32,74.00,185.24,1,-1,-1,-1
5,1,522.13,126.29,73.69,220.39,1,-1,-1,-1
6,2,462.44,155.01,79.30,187.09,1,-1,-1,-1
6,1,534.99,137.71,69.92,214.00,1,-1,-1,-1
7,2,477.45,150.89,76.65,191.50,1,-1,-1,-1
7,1,548.71,138.48,67.79,208.48,1,-1,-1,-1
8,2,490.84,153.68,73.22,184.48,1,-1,-1,-1
8,1,558.53,139.62,64.18,200.59,1,-1,-1,-1
9,2,504.86,160.02,70.40,183.50,1,-1,-1,-1
9,1,574.82,139.72,60.21,199.61,1,-1,-1,-1
10,2,520.50,156.07,72.09,186.34,1,-1,-1,-1
10,1,583.58,135.56,60.92,200.21,1,-1,-1,-1
11,2,531.41,157.16,75.56,185.90,1,-1,-1,-1
11,1,600.16,143.22,60.16,197.30,1,-1,-1,-1
12,2,546.49,155.30,78.31,190.25,1,-1,-1,-1
12,1,613.74,146.24,60.93,199.48,1,-1,-1,-1
13,2,559.85,154.16,88.45,199.84,1,-1,-1,-1
13,1,627.82,149.33,64.08,201.97,1,-1,-1,-1
14,3,257.83,133.24,74.49,177.39,1,-1,-1,-1
14,2,574.08,157.13,85.97,198.52,1,-1,-1,-1
14,1,642.70,151.60,60.87,203.93,1,-1,-1,-1
15,4,492.85,138.56,32.72,59.98,1,-1,-1,-1
15,3,272.46,135.35,73.85,164.54,1,-1,-1,-1
15,2,591.85,153.14,83.97,203.20,1,-1,-1,-1
15,1,654.87,151.05,63.37,207.44,1,-1,-1,-1
